idx,control_type,name,automation_id,class_name,rect,depth
270,Text,1 line,,,"(L0, T0, R0, B0)",9
271,RadioButton,2 lines,,,"(L0, T0, R0, B0)",8
272,Text,2 lines,,,"(L0, T0, R0, B0)",9
273,RadioButton,3 lines,,,"(L0, T0, R0, B0)",8
274,Text,3 lines,,,"(L0, T0, R0, B0)",9
275,Button,TEXT,header-label,,"(L0, T0, R0, B0)",7
276,Group,TEXT,content,,"(L0, T0, R0, B0)",7
277,RadioButton,Compact,,,"(L0, T0, R0, B0)",8
278,Text,Compact,,,"(L0, T0, R0, B0)",9
279,RadioButton,Standard,,,"(L0, T0, R0, B0)",8
280,Text,Standard,,,"(L0, T0, R0, B0)",9
281,RadioButton,Spacious,,,"(L0, T0, R0, B0)",8
282,Text,Spacious,,,"(L0, T0, R0, B0)",9
283,RadioButton,Regular,,,"(L0, T0, R0, B0)",8
284,Text,Regular,,,"(L0, T0, R0, B0)",9
285,RadioButton,Bold,,,"(L0, T0, R0, B0)",8
286,Text,Bold,,,"(L0, T0, R0, B0)",9
287,Text,A,,,"(L0, T0, R0, B0)",8
288,Group,6,,,"(L0, T0, R0, B0)",8
289,Slider,,,,"(L0, T0, R0, B0)",9
290,Text,A,,,"(L0, T0, R0, B0)",8
291,Text,A,,,"(L0, T0, R0, B0)",8
292,Group,3,,,"(L0, T0, R0, B0)",8
293,Slider,,,,"(L0, T0, R0, B0)",9
294,Text,A,,,"(L0, T0, R0, B0)",8
295,Button,RESTORE,,,"(L0, T0, R0, B0)",8
296,Text,COLORS,,,"(L0, T0, R0, B0)",7
297,Image,,info,,"(L0, T0, R0, B0)",7
298,Button,,header-label,,"(L0, T0, R0, B0)",7
299,Pane,,content,,"(L0, T0, R0, B0)",7
300,List,,,,"(L0, T0, R0, B0)",8
301,ListItem,,,,"(L0, T0, R0, B0)",9
302,Text,Headline text,,,"(L0, T0, R0, B0)",10
303,Button,A,,,"(L0, T0, R0, B0)",10
304,Button,,,,"(L0, T0, R0, B0)",10
305,ListItem,,,,"(L0, T0, R0, B0)",9
306,Text,Top headline and text,,,"(L0, T0, R0, B0)",10
307,Button,A,,,"(L0, T0, R0, B0)",10
308,Button,,,,"(L0, T0, R0, B0)",10
309,ListItem,,,,"(L0, T0, R0, B0)",9
310,Text,Alert headline and text,,,"(L0, T0, R0, B0)",10
311,Button,A,,,"(L0, T0, R0, B0)",10
312,Button,,,,"(L0, T0, R0, B0)",10
313,List,,,,"(L0, T0, R0, B0)",8
314,ListItem,,,,"(L0, T0, R0, B0)",9
315,Text,Headline Highlight#1 Background only,,,"(L0, T0, R0, B0)",10
316,Button,,,,"(L0, T0, R0, B0)",10
317,ListItem,,,,"(L0, T0, R0, B0)",9
318,Text,Headline Highlight#2 Background only,,,"(L0, T0, R0, B0)",10
319,Button,,,,"(L0, T0, R0, B0)",10
320,ListItem,,,,"(L0, T0, R0, B0)",9
321,Text,Headline Highlight#3 Background only,,,"(L0, T0, R0, B0)",10
322,Button,,,,"(L0, T0, R0, B0)",10
323,ListItem,,,,"(L0, T0, R0, B0)",9
324,Text,Headline Highlight#4 Background only,,,"(L0, T0, R0, B0)",10
325,Button,,,,"(L0, T0, R0, B0)",10
326,ListItem,,,,"(L0, T0, R0, B0)",9
327,Text,Headline Highlight#5 Background only,,,"(L0, T0, R0, B0)",10
328,Button,,,,"(L0, T0, R0, B0)",10
329,Button,RESTORE,,,"(L0, T0, R0, B0)",8
330,Button,SEARCH,header-label,,"(L0, T0, R0, B0)",7
331,Pane,,,Intermediate D3D Window,"(L1591, T65, R2545, B825)",2
332,Pane,,,,"(L1591, T65, R2545, B825)",2
333,Pane,,,,"(L1591, T65, R2545, B825)",3
334,Pane,,,,"(L1591, T65, R2545, B825)",4
335,Pane,,,,"(L1591, T65, R2545, B825)",5
336,Pane,,,,"(L1591, T65, R2545, B825)",6
